lat,lon
-28.375, -53.125
-28.375, -52.875
-28.375, -52.625
-28.375, -52.375
-28.375, -52.125
-28.375, -51.875
-28.375, -51.625
-28.375, -51.375
-28.375, -51.125
-28.375, -50.875
-28.375, -50.625
-28.375, -50.375
-28.375, -50.125
-28.375, -49.875
-28.375, -49.625
-28.375, -49.375
-28.375, -49.125
-28.375, -48.875
-28.125, -55.125
-28.125, -54.875
-28.125, -54.625
-28.125, -54.375
-28.125, -54.125
-28.125, -53.875
-28.125, -53.625
-28.125, -53.375
-28.125, -53.125
-28.125, -52.875
-28.125, -52.625
-28.125, -52.375
-28.125, -52.125
-28.125, -51.875
-28.125, -51.625
-28.125, -51.375
-28.125, -51.125
-28.125, -50.875
-28.125, -50.625
-28.125, -50.375
-28.125, -50.125
-28.125, -49.875
-28.125, -49.625
-28.125, -49.375
-28.125, -49.125
-28.125, -48.875
-27.875, -54.625
-27.875, -54.375
-27.875, -54.125
-27.875, -53.875
-27.875, -53.625
-27.875, -53.375
-27.875, -53.125
-27.875, -52.875
-27.875, -52.625
-27.875, -52.375
-27.875, -52.125
-27.875, -51.875
-27.875, -51.625
-27.875, -51.375
-27.875, -51.125
-27.875, -50.875
-27.875, -50.625
-27.875, -50.375
-27.875, -50.125
-27.875, -49.875
-27.875, -49.625
-27.875, -49.375
-27.875, -49.125
-27.875, -48.875
-27.875, -48.625
-27.625, -54.375
-27.625, -54.125
-27.625, -53.875
-27.625, -53.625
-27.625, -53.375
-27.625, -53.125
-27.625, -52.875
-27.625, -52.625
-27.625, -52.375
-27.625, -52.125
-27.625, -51.875
-27.625, -51.625
-27.625, -51.375
-27.625, -51.125
-27.625, -50.875
-27.625, -50.625
-27.625, -50.375
-27.625, -50.125
-27.625, -49.875
-27.625, -49.625
-27.625, -49.375
-27.625, -49.125
-27.625, -48.875
-27.625, -48.625
-27.375, -53.875
-27.375, -53.625
-27.375, -53.375
-27.375, -53.125
-27.375, -52.875
-27.375, -52.625
-27.375, -52.375
-27.375, -52.125
-27.375, -51.875
-27.375, -51.625
-27.375, -51.375
-27.375, -51.125
-27.375, -50.875
-27.375, -50.625
-27.375, -50.375
-27.375, -50.125
-27.375, -49.875
-27.375, -49.625
-27.375, -49.375
-27.375, -49.125
-27.375, -48.875
-27.375, -48.625
-27.125, -53.875
-27.125, -53.625
-27.125, -53.375
-27.125, -53.125
-27.125, -52.875
-27.125, -52.625
-27.125, -52.375
-27.125, -52.125
-27.125, -51.875
-27.125, -51.625
-27.125, -51.375
-27.125, -51.125
-27.125, -50.875
-27.125, -50.625
-27.125, -50.375
-27.125, -50.125
-27.125, -49.875
-27.125, -49.625
-27.125, -49.375
-27.125, -49.125
-27.125, -48.875
-27.125, -48.625
-26.875, -53.625
-26.875, -53.375
-26.875, -53.125
-26.875, -52.875
-26.875, -52.625
-26.875, -52.375
-26.875, -52.125
-26.875, -51.875
-26.875, -51.625
-26.875, -51.375
-26.875, -51.125
-26.875, -50.875
-26.875, -50.625
-26.875, -50.375
-26.875, -50.125
-26.875, -49.875
-26.875, -49.625
-26.875, -49.375
-26.875, -49.125
-26.875, -48.875
-26.625, -53.125
-26.625, -52.875
-26.625, -52.625
-26.625, -52.375
-26.625, -52.125
-26.625, -51.875
-26.625, -51.625
-26.625, -51.375
-26.625, -51.125
-26.625, -50.875
-26.625, -50.625
-26.625, -50.375
-26.625, -50.125
-26.625, -49.875
-26.625, -49.625
-26.625, -49.375
-26.625, -49.125
-26.625, -48.875
-26.375, -53.125
-26.375, -52.875
-26.375, -52.625
-26.375, -52.375
-26.375, -52.125
-26.375, -51.875
-26.375, -51.625
-26.375, -51.375
-26.375, -51.125
-26.375, -50.875
-26.375, -50.625
-26.375, -50.375
-26.375, -50.125
-26.375, -49.875
-26.375, -49.625
-26.375, -49.375
-26.375, -49.125
-26.375, -48.875
-26.375, -48.625
-26.125, -53.875
-26.125, -53.625
-26.125, -53.375
-26.125, -53.125
-26.125, -52.875
-26.125, -52.625
-26.125, -52.375
-26.125, -52.125
-26.125, -51.875
-26.125, -51.625
-26.125, -51.375
-26.125, -51.125
-26.125, -50.875
-26.125, -50.625
-26.125, -50.375
-26.125, -50.125
-26.125, -49.875
-26.125, -49.625
-26.125, -49.375
-26.125, -49.125
-26.125, -48.875
-26.125, -48.625
-25.875, -53.875
-25.875, -53.625
