state,year,lat,lon,gws_inst,rtzsm_inst,sfsm_inst
 AC, 2003,-8.98235294117647,-70.43529411764706,85.23003026176471,84.12735068278187,81.32228031476716
 AC, 2004,-8.98235294117647,-70.43529411764706,88.66798946018099,87.56364021583711,84.83016782386879
 AC, 2005,-8.98235294117647,-70.43529411764706,69.86200511794118,66.00785572421493,64.49804337107126
 AC, 2006,-8.98235294117647,-70.43529411764706,56.59462881582579,56.447454178170815,55.05759568376583
 AC, 2007,-8.98235294117647,-70.43529411764706,88.14630660562709,86.71385586794673,85.45297479977802
 AC, 2008,-8.98235294117647,-70.43529411764706,88.99871490350678,86.68542487895928,84.94096158608598
 AC, 2009,-8.98235294117647,-70.43529411764706,95.75275117816741,94.17128586708145,92.57141302488688
 AC, 2010,-8.98235294117647,-70.43529411764706,69.2601898293552,66.46561320256787,64.14015595493213
 AC, 2011,-8.98235294117647,-70.43529411764706,75.56266432714932,74.49888124570136,73.2208985719457
 AC, 2012,-8.98235294117647,-70.43529411764706,77.41109452463928,74.601254338697,73.0311610690455
 AC, 2013,-8.98235294117647,-70.43529411764706,86.79477795351809,84.27400312015837,81.44820432948643
 AC, 2014,-8.98235294117647,-70.43529411764706,89.124296077319,87.45054214857466,85.09038108970589
 AC, 2015,-8.98235294117647,-70.43529411764706,79.36998901052263,74.75921015435408,72.6119304035577
 AC, 2016,-8.98235294117647,-70.43529411764706,41.05519789786765,41.479780093910634,39.928550999162894
 AC, 2017,-8.98235294117647,-70.43529411764706,58.7220759423224,57.01515207499321,55.39029599084389
 AC, 2018,-8.98235294117647,-70.43529411764706,38.07709184512431,41.0863495423485,39.1172453465849
 AC, 2019,-8.98235294117647,-70.43529411764706,59.209854498985294,56.613952009882354,54.860698622115386
 AC, 2020,-8.98235294117647,-70.43529411764706,52.94097748894004,46.327065368261316,43.366191751542985
 AC, 2021,-8.98235294117647,-70.43529411764706,50.672887960479635,48.446283851820134,48.26273024207579
 AC, 2022,-8.98235294117647,-70.43529411764706,50.101473254726244,44.24203692838122,41.43284890910068
 AC, 2023,-8.98235294117647,-70.43529411764706,46.482057687360964,47.809028329465235,48.120475927328876
 AL, 2003,-9.526315789473685,-36.63815789473684,16.021832017872807,34.272378342708336,38.11241752480263
 AL, 2004,-9.526315789473685,-36.63815789473684,60.113390410172066,52.11821332515182,49.01713035931174
 AL, 2005,-9.526315789473685,-36.63815789473684,61.46100661169029,53.65276754614372,51.40229908821862
 AL, 2006,-9.526315789473685,-36.63815789473684,51.761132172823885,44.72587956857287,43.93856325389676
 AL, 2007,-9.526315789473685,-36.63815789473684,51.376393573733864,48.818928657199606,47.98522861864945
 AL, 2008,-9.526315789473685,-36.63815789473684,56.2122672138664,49.447686966568824,49.563581658213565
 AL, 2009,-9.526315789473685,-36.63815789473684,64.25388320860324,54.725118186589064,53.37531524767206
 AL, 2010,-9.526315789473685,-36.63815789473684,42.474428083097166,45.84937924180668,45.53088861404858
 AL, 2011,-9.526315789473685,-36.63815789473684,48.762077355313764,54.4160886666498,56.06728943825911
 AL, 2012,-9.526315789473685,-36.63815789473684,12.887840713113208,20.62729655102284,20.941183530412115
 AL, 2013,-9.526315789473685,-36.63815789473684,11.025072845420041,29.7995801523836,33.4388319593168
 AL, 2014,-9.526315789473685,-36.63815789473684,11.43646539645243,29.9473389244585,34.37143169236842
 AL, 2015,-9.526315789473685,-36.63815789473684,4.5934841123684205,15.651483662930163,15.894704178765183
 AL, 2016,-9.526315789473685,-36.63815789473684,2.9959225562398784,17.14446571000506,19.025860958491904
 AL, 2017,-9.526315789473685,-36.63815789473684,26.14235654297065,41.555449676290486,41.00637052307692
 AL, 2018,-9.526315789473685,-36.63815789473684,8.166062128286992,21.210290721350546,23.528770751395232
 AL, 2019,-9.526315789473685,-36.63815789473684,4.417269918603239,22.828666200597166,27.26297438911943
 AL, 2020,-9.526315789473685,-36.63815789473684,29.50943991706478,41.52080904936235,42.79294366537956
 AL, 2021,-9.526315789473685,-36.63815789473684,19.920547298512147,37.285101030207485,40.14290006385628
 AL, 2022,-9.526315789473685,-36.63815789473684,66.9381533409413,68.19371876892713,68.27467764561234
 AL, 2023,-9.526315789473685,-36.63815789473684,65.14115238696172,49.97465224461722,52.55615699641148
 AM, 2003,-4.305332261521972,-64.28885316184352,80.59258770348785,79.00432864216684,78.89373355536017
 AM, 2004,-4.305332261521972,-64.28885316184352,83.645265715307,81.67746861553178,82.07565938911699
 AM, 2005,-4.305332261521972,-64.28885316184352,51.08326483921881,52.49885607550911,50.527648697654385
 AM, 2006,-4.305332261521972,-64.28885316184352,61.260175382736726,61.1389153229517,59.798510051992025
 AM, 2007,-4.305332261521972,-64.28885316184352,75.75956161639466,72.73722806074744,73.83542058613824
 AM, 2008,-4.305332261521972,-64.28885316184352,68.5220815923788,68.65719611844855,67.1471455027929
 AM, 2009,-4.305332261521972,-64.28885316184352,68.55502407097688,66.66433873893426,65.43180298562525
 AM, 2010,-4.305332261521972,-64.28885316184352,43.3075155277391,44.37997052312227,42.2210088022508
 AM, 2011,-4.305332261521972,-64.28885316184352,44.11071261210117,45.471926722690355,44.169768011976046
 AM, 2012,-4.305332261521972,-64.28885316184352,56.68217774008352,57.09586109843394,54.61293992043196
 AM, 2013,-4.305332261521972,-64.28885316184352,69.27228576092845,68.7389815330156,66.32294251620579
 AM, 2014,-4.305332261521972,-64.28885316184352,56.57911343283845,55.83303408934001,53.027686141601535
 AM, 2015,-4.305332261521972,-64.28885316184352,50.0602866272473,49.407825671612976,45.960163432909454
